sample;date;MLD;temp;PW_frac;chl_sens;PAR_satellite;sal;O2_conc;depth
PRUEF-S001;2016-08-01;10.433;7.397;0.2723;0.234;27.573;35.077;286.36;32.008
PRUEF-S002;2016-08-15;20.252;7.143;0.2184;0.256;24.502;35.058;286.63;28.215
PRUEF-S003;2016-09-01;35.368;6.875;0.1679;0.784;22.397;35.061;294.294;27.383
PRUEF-S004;2016-09-15;44.465;6.094;0.1909;1.013;18.184;35.028;294.125;27.677
PRUEF-S005;2016-10-01;60.788;5.602;0.1989;1.565;13.735;35.133;303.051;29.766
PRUEF-S006;2016-10-15;71.557;4.867;0.1595;1.977;13.196;34.906;302.626;27.518
PRUEF-S007;2016-11-01;83.507;4.265;0.0688;2.386;7.439;34.963;306.833;30.798
PRUEF-S008;2016-11-15;97.651;3.568;0.0798;1.934;3.678;34.96;311.272;29.099
PRUEF-S009;2016-12-01;110.483;3.318;0.1055;1.79;1.557;35.035;311.42;29.795
PRUEF-S010;2016-12-15;117.077;3.256;0.0886;1.036;0.452;34.929;316.826;30.66
PRUEF-S011;2017-01-01;114.984;2.94;0.0692;0.694;0.0;35.024;314.065;27.359
PRUEF-S012;2017-01-15;116.628;2.803;0.0911;0.415;1.537;35.124;318.086;30.976
